
# ;[];[];[];[];[];[];[];[];[];
# ;öhman kort ränta a;öhman marknad pacific a;öhman marknad sverige bred a;öhman marknad usa a;öhman obligationsfond a;öhman realräntefond a;öhman småbolagsfond a;öhman sverige a;öhman sweden micro cap;
2023-11-10;-0,023;-0,053;-0,087;-0,051;-0,036;-0,024;-0,107;-0,082;-0,112;
2023-11-13;-0,023;-0,055;-0,087;-0,055;-0,036;-0,024;-0,108;-0,082;-0,113;
2023-11-14;-0,023;-0,055;-0,073;-0,054;-0,033;-0,022;-0,086;-0,066;-0,091;
2023-11-15;-0,022;-0,049;-0,069;-0,059;-0,033;-0,022;-0,088;-0,063;-0,093;
2023-11-16;;;;;;;;;;
2023-11-17;-0,022;-0,052;-0,068;-0,056;-0,031;-0,021;-0,085;-0,063;-0,090;
2023-11-20;-0,022;-0,052;-0,066;-0,055;-0,031;-0,021;-0,082;-0,060;-0,086;
2023-11-21;-0,022;-0,054;-0,069;-0,058;-0,031;-0,020;-0,088;-0,063;-0,091;
2023-11-22;-0,022;-0,050;-0,065;-0,052;-0,032;-0,021;-0,082;-0,060;-0,085;
2023-11-23;-0,022;-0,052;-0,063;;-0,032;-0,021;-0,081;-0,058;-0,084;
2023-11-24;-0,022;-0,054;-0,063;-0,055;-0,032;-0,021;-0,080;-0,057;-0,084;
2023-11-27;-0,022;-0,055;-0,063;-0,056;-0,031;-0,020;-0,081;-0,058;-0,084;
2023-11-28;-0,022;-0,055;-0,066;-0,059;-0,030;-0,019;-0,084;-0,061;-0,086;
2023-11-29;-0,022;-0,057;-0,061;-0,060;-0,028;-0,018;-0,078;-0,057;-0,082;
2023-11-30;;;;;;;;;;
2023-12-01;-0,021;-0,052;-0,058;-0,052;-0,027;-0,017;-0,076;-0,054;-0,080;
2023-12-04;-0,021;-0,051;-0,058;-0,054;-0,025;-0,015;-0,078;-0,054;-0,082;
2023-12-05;-0,021;-0,058;-0,055;-0,053;-0,024;-0,014;-0,071;-0,050;-0,075;
2023-12-06;-0,021;-0,052;-0,050;-0,056;-0,024;-0,013;-0,065;-0,044;-0,070;
2023-12-07;-0,021;-0,054;-0,050;-0,053;-0,023;-0,013;-0,065;-0,044;-0,071;
2023-12-08;-0,021;-0,050;-0,047;-0,049;-0,024;-0,014;-0,063;-0,042;-0,068;
2023-12-11;-0,021;-0,050;-0,043;-0,046;-0,024;-0,014;-0,061;-0,037;-0,065;
2023-12-12;;;;;;;;;;
2023-12-13;-0,021;-0,048;-0,047;-0,040;-0,022;-0,013;-0,065;-0,042;-0,068;
2023-12-14;-0,020;-0,045;-0,035;-0,049;-0,020;-0,012;-0,045;-0,028;-0,051;
2023-12-15;-0,020;-0,037;-0,031;-0,047;-0,019;-0,011;-0,042;-0,024;-0,047;
2023-12-18;-0,020;-0,043;-0,033;-0,047;-0,019;-0,011;-0,045;-0,027;-0,050;
2023-12-19;-0,020;-0,039;-0,030;-0,047;-0,018;-0,009;-0,041;-0,025;-0,045;
2023-12-20;-0,020;-0,037;-0,030;-0,054;-0,017;-0,008;-0,042;-0,025;-0,046;
2023-12-21;-0,020;-0,039;-0,033;-0,050;-0,017;-0,008;-0,043;-0,027;-0,048;
2023-12-22;-0,020;-0,041;-0,032;-0,053;-0,018;-0,008;-0,040;-0,026;-0,046;
2023-12-27;-0,020;-0,040;-0,030;-0,056;-0,017;-0,008;-0,038;-0,024;-0,043;
2023-12-28;-0,020;-0,033;-0,029;-0,054;-0,017;-0,008;-0,038;-0,024;-0,042;
2023-12-29;;;;;;;;;;
2024-01-02;-0,019;-0,028;-0,030;-0,048;-0,018;-0,009;-0,043;-0,025;-0,047;
2024-01-03;-0,019;-0,031;-0,038;-0,048;-0,018;-0,010;-0,052;-0,033;-0,055;
2024-01-04;;;;;;;;;;
2024-01-05;-0,019;-0,037;-0,042;-0,053;-0,020;-0,012;-0,053;-0,037;-0,055;
2024-01-08;-0,019;-0,039;-0,038;-0,044;-0,020;-0,013;-0,048;-0,032;-0,050;
2024-01-09;-0,019;-0,036;-0,040;-0,042;-0,020;-0,013;-0,048;-0,035;-0,050;
2024-01-10;-0,019;-0,040;-0,041;-0,041;-0,021;-0,014;-0,047;-0,035;-0,049;
2024-01-11;-0,019;-0,036;-0,043;-0,038;-0,020;-0,013;-0,052;-0,037;-0,054;
2024-01-12;-0,019;-0,036;-0,038;-0,039;-0,019;-0,012;-0,047;-0,032;-0,048;
2024-01-15;-0,019;-0,035;-0,042;;-0,020;-0,011;-0,055;-0,038;-0,056;
2024-01-16;-0,019;-0,039;-0,045;-0,033;-0,019;-0,011;-0,055;-0,040;-0,056;
2024-01-17;-0,019;-0,043;-0,051;-0,032;-0,021;-0,012;-0,060;-0,046;-0,062;
2024-01-18;-0,019;-0,044;-0,049;-0,028;-0,021;-0,012;-0,060;-0,044;-0,061;
2024-01-19;-0,019;-0,039;-0,052;-0,022;-0,022;-0,013;-0,065;-0,046;-0,067;
2024-01-22;-0,019;-0,039;-0,047;-0,022;-0,021;-0,012;-0,062;-0,042;-0,063;
2024-01-23;-0,019;-0,035;-0,045;-0,019;-0,021;-0,013;-0,060;-0,041;-0,060;
2024-01-24;-0,019;-0,035;-0,042;-0,022;-0,022;-0,013;-0,056;-0,038;-0,056;
2024-01-25;-0,019;-0,032;-0,040;-0,018;-0,021;-0,013;-0,054;-0,035;-0,055;
2024-01-26;;;;;;;;;;
2024-01-29;-0,019;-0,028;-0,038;-0,014;-0,020;-0,013;-0,051;-0,033;-0,052;
2024-01-30;-0,019;-0,032;-0,038;-0,016;-0,021;-0,013;-0,050;-0,033;-0,050;
2024-01-31;-0,019;-0,032;-0,038;-0,028;-0,019;-0,012;-0,047;-0,033;-0,048;
2024-02-01;-0,018;-0,035;-0,037;-0,018;-0,019;-0,011;-0,053;-0,034;-0,052;
2024-02-02;-0,018;-0,030;-0,037;-0,011;-0,019;-0,011;-0,057;-0,034;-0,055;
2024-02-05;;;;;;;;;;
2024-02-06;-0,018;-0,031;-0,038;-0,009;-0,021;-0,014;-0,057;-0,035;-0,056;
2024-02-07;-0,018;-0,032;-0,038;-0,008;-0,021;-0,014;-0,056;-0,034;-0,054;
2024-02-08;-0,018;-0,032;-0,036;-0,007;-0,022;-0,015;-0,051;-0,034;-0,047;
2024-02-09;-0,018;-0,031;-0,038;-0,005;-0,023;-0,016;-0,054;-0,036;-0,050;
2024-02-12;-0,018;-0,033;-0,034;-0,008;-0,023;-0,016;-0,050;-0,033;-0,046;
2024-02-13;-0,018;-0,032;-0,038;-0,007;-0,023;-0,016;-0,054;-0,036;-0,050;
2024-02-14;-0,018;-0,034;-0,037;-0,004;-0,023;-0,016;-0,051;-0,035;-0,046;
2024-02-15;-0,018;-0,030;-0,032;-0,006;-0,023;-0,015;-0,047;-0,030;-0,044;
2024-02-16;-0,018;-0,026;-0,028;-0,009;-0,023;-0,015;-0,045;-0,028;-0,042;
2024-02-19;-0,018;-0,028;-0,028;;-0,024;-0,014;-0,048;-0,027;-0,044;
2024-02-20;-0,018;-0,029;-0,029;-0,016;-0,023;-0,013;-0,052;-0,028;-0,049;
2024-02-21;-0,018;-0,028;-0,029;-0,015;-0,023;-0,014;-0,055;-0,029;-0,052;
2024-02-22;-0,018;-0,030;-0,026;-0,007;-0,024;-0,014;-0,051;-0,026;-0,048;
2024-02-23;-0,018;-0,029;-0,025;-0,007;-0,023;-0,014;-0,051;-0,025;-0,048;
2024-02-26;;;;;;;;;;
2024-02-27;-0,018;-0,029;-0,024;-0,009;-0,024;-0,015;-0,047;-0,024;-0,044;
2024-02-28;-0,018;-0,030;-0,024;-0,008;-0,024;-0,015;-0,049;-0,025;-0,045;
2024-02-29;-0,017;-0,027;-0,022;-0,005;-0,024;-0,014;-0,047;-0,024;-0,043;
2024-03-01;-0,017;-0,027;-0,019;-0,003;-0,023;-0,014;-0,040;-0,021;-0,037;
2024-03-04;-0,017;-0,026;-0,021;-0,001;-0,022;-0,013;-0,044;-0,023;-0,041;
2024-03-05;;;;;;;;;;
2024-03-06;-0,017;-0,027;-0,020;-0,007;-0,021;-0,012;-0,048;-0,022;-0,044;
2024-03-07;-0,017;-0,025;-0,018;-0,004;-0,021;-0,011;-0,044;-0,020;-0,041;
2024-03-08;-0,017;-0,022;-0,014;-0,010;-0,019;-0,009;-0,040;-0,016;-0,039;
2024-03-11;-0,017;-0,025;-0,015;-0,008;-0,019;-0,010;-0,042;-0,017;-0,040;
2024-03-12;-0,017;-0,024;-0,009;-0,002;-0,019;-0,010;-0,039;-0,011;-0,036;
2024-03-13;-0,017;-0,021;-0,008;-0,004;-0,020;-0,011;-0,038;-0,010;-0,035;
2024-03-14;-0,017;-0,021;-0,008;-0,001;-0,021;-0,013;-0,039;-0,011;-0,034;
2024-03-15;-0,017;-0,023;-0,007;-0,003;-0,021;-0,014;-0,041;-0,010;-0,036;
2024-03-18;-0,016;-0,023;-0,011;0,002;-0,022;-0,014;-0,044;-0,015;-0,039;
2024-03-19;-0,016;-0,025;-0,009;0,005;-0,021;-0,014;-0,041;-0,013;-0,037;
2024-03-20;-0,016;-0,024;-0,008;0,011;-0,021;-0,014;-0,041;-0,011;-0,036;
2024-03-21;-0,016;-0,017;0,001;0,012;-0,021;-0,013;-0,031;-0,003;-0,026;
2024-03-22;-0,016;-0,017;0,002;0,015;-0,020;-0,011;-0,032;-0,003;-0,026;
2024-03-25;;;;;;;;;;
2024-03-26;-0,016;-0,015;0,003;0,013;-0,020;-0,012;-0,027;-0,001;-0,021;
2024-03-27;-0,016;-0,013;0,004;0,017;-0,020;-0,011;-0,022;0,002;-0,017;
2024-03-28;-0,016;-0,007;0,002;0,021;-0,020;-0,012;-0,022;0,000;-0,016;
2024-04-02;-0,016;-0,006;-0,001;0,018;-0,021;-0,013;-0,027;-0,002;-0,019;
2024-04-03;-0,016;-0,014;0,000;0,015;-0,022;-0,013;-0,026;-0,001;-0,018;
2024-04-04;-0,016;-0,012;0,002;0,006;-0,021;-0,012;-0,024;-0,000;-0,016;
2024-04-05;-0,016;-0,013;-0,002;0,014;-0,022;-0,013;-0,030;-0,004;-0,022;
2024-04-08;-0,016;-0,015;0,001;0,010;-0,023;-0,014;-0,024;-0,001;-0,017;
2024-04-09;-0,015;-0,012;-0,001;0,011;-0,022;-0,013;-0,028;-0,003;-0,020;
2024-04-10;-0,015;-0,010;-0,001;0,013;-0,022;-0,013;-0,033;-0,004;-0,023;
2024-04-11;-0,015;-0,010;-0,004;0,019;-0,023;-0,013;-0,033;-0,007;-0,023;
2024-04-12;-0,015;-0,010;-0,004;0,018;-0,020;-0,011;-0,035;-0,007;-0,025;
2024-04-15;-0,015;-0,015;-0,003;0,012;-0,022;-0,013;-0,035;-0,006;-0,026;
2024-04-16;-0,015;-0,023;-0,009;0,013;-0,023;-0,014;-0,041;-0,011;-0,032;
2024-04-17;-0,015;-0,020;-0,007;0,012;-0,023;-0,013;-0,043;-0,010;-0,033;
2024-04-18;-0,015;-0,019;-0,007;0,009;-0,023;-0,012;-0,042;-0,008;-0,034;
2024-04-22;;;;;;;;;;
2024-04-23;;;;;;;;;;
2024-04-24;-0,015;-0,012;-0,002;0,011;-0,023;-0,012;-0,030;-0,001;-0,024;
2024-04-25;;;;;;;;;;
2024-04-26;-0,015;-0,009;0,000;0,017;-0,022;-0,011;-0,022;0,004;-0,017;
2024-04-29;-0,014;-0,004;0,004;0,016;-0,022;-0,011;-0,015;0,007;-0,010;
2024-04-30;-0,014;-0,003;0,004;0,011;-0,022;-0,011;-0,013;0,008;-0,008;
2024-05-02;-0,014;-0,005;-0,001;0,012;-0,022;-0,011;-0,017;0,002;-0,013;
2024-05-03;-0,014;-0,002;0,002;0,014;-0,020;-0,009;-0,012;0,005;-0,007;
2024-05-06;;;;;;;;;;
2024-05-07;-0,014;0,005;0,012;0,019;-0,018;-0,008;-0,005;0,013;-0,001;
2024-05-08;-0,014;0,005;0,012;0,022;-0,019;-0,009;-0,005;0,013;0,001;
2024-05-10;-0,014;0,006;0,019;0,024;-0,019;-0,009;0,001;0,019;0,008;
2024-05-13;-0,013;0,006;0,019;0,022;-0,018;-0,008;0,001;0,019;0,007;
2024-05-14;-0,013;0,004;0,022;0,025;-0,019;-0,009;0,010;0,022;0,016;
2024-05-15;-0,013;0,003;0,023;0,026;-0,017;-0,008;0,011;0,021;0,017;
2024-05-16;-0,013;0,010;0,021;0,025;-0,017;-0,008;0,009;0,019;0,016;
2024-05-17;-0,013;0,008;0,020;0,025;-0,018;-0,009;0,008;0,018;0,017;
2024-05-20;-0,013;0,008;0,025;0,025;-0,018;-0,009;0,011;0,021;0,020;
2024-05-21;-0,013;0,004;0,025;0,026;-0,017;-0,009;0,010;0,021;0,019;
2024-05-22;-0,013;0,005;0,025;0,027;-0,018;-0,009;0,011;0,022;0,020;
2024-05-23;-0,013;0,003;0,026;0,024;-0,019;-0,011;0,011;0,021;0,021;
2024-05-24;-0,013;-0,005;0,024;0,024;-0,019;-0,011;0,011;0,019;0,021;
2024-05-27;-0,013;-0,001;0,024;;-0,018;-0,010;0,009;0,019;0,020;
2024-05-28;;;;;;;;;;
2024-05-29;-0,013;-0,008;0,016;0,021;-0,019;-0,011;0,006;0,014;0,016;
2024-05-30;-0,013;-0,011;0,018;0,015;-0,019;-0,012;0,012;0,018;0,021;
2024-05-31;-0,013;-0,011;0,020;0,015;-0,019;-0,011;0,019;0,020;0,028;
2024-06-03;;;;;;;;;;
2024-06-04;-0,012;-0,012;0,017;0,014;-0,017;-0,008;0,015;0,019;0,021;
2024-06-05;-0,012;-0,011;0,021;0,019;-0,017;-0,009;0,016;0,021;0,023;
2024-06-07;-0,012;-0,006;0,021;0,022;-0,018;-0,010;0,017;0,021;0,025;
2024-06-10;-0,012;;0,018;0,023;-0,018;-0,010;0,016;0,017;0,023;
2024-06-11;-0,012;-0,012;0,016;0,025;-0,017;-0,010;0,014;0,016;0,021;
2024-06-12;-0,012;-0,018;0,025;0,020;-0,016;-0,008;0,023;0,023;0,030;
2024-06-13;-0,012;-0,012;0,018;0,028;-0,015;-0,008;0,019;0,018;0,024;
2024-06-14;-0,012;-0,012;0,012;0,033;-0,014;-0,005;0,013;0,013;0,019;
2024-06-17;-0,012;-0,015;0,012;0,035;-0,015;-0,005;0,012;0,012;0,018;
2024-06-18;-0,012;-0,012;0,013;0,033;-0,014;-0,005;0,011;0,013;0,017;
2024-06-19;-0,012;-0,012;0,010;;-0,014;-0,006;0,009;0,010;0,015;
2024-06-20;-0,012;-0,012;0,015;0,031;-0,015;-0,006;0,014;0,016;0,020;
2024-06-24;-0,012;-0,013;0,018;0,029;-0,014;-0,006;0,017;0,018;0,021;
2024-06-25;;;;;;;;;;
2024-06-26;-0,011;-0,008;0,013;0,036;-0,014;-0,005;0,010;0,015;0,015;
2024-06-27;-0,011;-0,008;0,011;0,038;-0,013;-0,005;0,012;0,013;0,018;
2024-06-28;-0,011;-0,006;0,013;0,036;-0,013;-0,004;0,012;0,014;0,017;
2024-07-01;-0,011;-0,007;0,015;0,039;-0,014;-0,006;0,015;0,018;0,020;
2024-07-02;-0,011;-0,010;0,012;0,040;-0,015;-0,006;0,013;0,014;0,018;
2024-07-03;-0,011;-0,010;0,014;0,037;-0,014;-0,006;0,013;0,015;0,019;
2024-07-04;-0,011;-0,005;0,015;;-0,015;-0,006;0,016;0,017;0,021;
2024-07-05;-0,011;-0,006;0,014;0,040;-0,014;-0,006;0,019;0,016;0,025;
2024-07-08;-0,011;-0,007;0,015;0,043;-0,014;-0,005;0,022;0,018;0,028;
2024-07-09;-0,011;-0,003;0,012;0,044;-0,014;-0,006;0,022;0,015;0,028;
2024-07-10;-0,011;-0,002;0,014;0,048;-0,013;-0,005;0,024;0,018;0,029;
2024-07-11;-0,011;0,002;0,019;0,041;-0,012;-0,003;0,029;0,021;0,033;
2024-07-12;-0,010;0,009;0,029;0,045;-0,011;-0,003;0,039;0,033;0,042;
2024-07-18;;;;;;;;;;
2024-07-19;;;;;;;;;;
2024-07-22;-0,010;0,009;0,026;0,048;-0,009;-0,002;0,039;0,033;0,039;
2024-07-23;-0,010;0,012;0,025;0,050;-0,009;-0,001;0,038;0,033;0,039;
2024-07-24;-0,010;0,009;0,022;0,039;-0,009;-0,001;0,036;0,029;0,037;
2024-07-25;-0,010;0,003;0,019;0,038;-0,008;-0,001;0,031;0,028;0,033;
2024-07-26;;;;;;;;;;
2024-07-29;-0,010;0,010;0,022;0,044;-0,008;-0,000;0,031;0,030;0,034;
2024-07-30;-0,010;0,006;0,024;0,040;-0,008;-0,000;0,031;0,031;0,035;
2024-07-31;-0,009;0,009;0,026;0,045;-0,007;-0,000;0,032;0,032;0,036;
2024-08-01;-0,009;0,008;0,016;0,037;-0,006;0,001;0,026;0,025;0,028;
2024-08-02;-0,009;-0,005;0,002;0,024;-0,005;0,002;0,013;0,014;0,015;
2024-08-05;;;;;;;;;;
2024-08-06;-0,009;-0,021;-0,009;0,013;-0,005;0,002;0,003;0,003;0,005;
2024-08-07;-0,009;-0,020;-0,000;0,006;-0,006;0,000;0,012;0,011;0,014;
2024-08-08;-0,009;-0,015;0,000;0,020;-0,006;0,000;0,014;0,012;0,015;
2024-08-09;-0,009;-0,012;0,002;0,021;-0,006;0,000;0,017;0,014;0,019;
2024-08-12;;;;;;;;;;
2024-08-13;-0,009;-0,008;0,004;0,029;-0,004;0,001;0,017;0,016;0,018;
2024-08-14;;;;;;;;;;
2024-08-15;-0,009;-0,005;0,012;0,037;-0,005;-0,001;0,023;0,023;0,024;
2024-08-16;-0,008;0,001;0,013;0,038;-0,005;0,000;0,023;0,025;0,024;
2024-08-19;-0,008;-0,001;0,016;0,036;-0,004;0,000;0,024;0,027;0,026;
2024-08-20;-0,008;-0,003;0,014;0,031;-0,004;0,000;0,023;0,025;0,025;
2024-08-21;-0,008;-0,002;0,013;0,033;-0,004;0,000;0,021;0,023;0,023;
2024-08-22;-0,008;-0,000;0,016;0,029;-0,004;-0,000;0,024;0,027;0,025;
2024-08-27;;;;;;;;;;
2024-08-28;-0,008;0,004;0,020;0,028;-0,004;-0,001;0,030;0,032;0,031;
2024-08-29;-0,008;0,008;0,024;0,030;-0,004;-0,001;0,033;0,034;0,034;
2024-08-30;-0,008;0,009;0,025;0,035;-0,004;-0,001;0,037;0,037;0,038;
2024-09-02;-0,008;0,011;0,025;;-0,005;-0,002;0,034;0,036;0,035;
2024-09-03;-0,008;0,010;0,019;0,028;-0,004;-0,001;0,028;0,032;0,027;
2024-09-04;-0,008;0,003;0,014;0,024;-0,004;-0,001;0,026;0,029;0,026;
2024-10-08;;;;;;;;;;
2024-10-09;;;;;;;;;;
2024-10-10;;;;;;;;;;
2024-10-11;-0,006;0,029;0,025;0,053;-0,004;0,000;0,025;0,033;0,025;
2024-10-14;-0,006;0,032;0,026;0,059;-0,004;0,001;0,025;0,035;0,025;
2024-10-15;-0,006;0,030;0,024;0,053;-0,003;0,002;0,025;0,035;0,025;
2024-10-16;-0,006;0,030;0,023;0,059;-0,003;0,002;0,023;0,036;0,021;
2024-10-17;-0,006;0,037;0,023;0,061;-0,002;0,002;0,024;0,036;0,023;
2024-10-18;-0,006;0,038;0,025;0,064;-0,002;0,003;0,026;0,037;0,025;
2024-10-21;-0,006;0,037;0,022;0,063;-0,003;0,001;0,022;0,033;0,021;
2024-10-22;-0,006;0,030;0,020;0,063;-0,003;0,001;0,019;0,031;0,019;
2024-10-23;-0,006;0,031;0,020;0,061;-0,003;0,001;0,020;0,032;0,018;
2024-10-24;-0,005;0,030;0,018;0,060;-0,003;0,002;0,018;0,030;0,017;
2024-10-25;-0,005;0,030;0,022;0,059;-0,003;0,002;0,018;0,033;0,017;
2024-10-28;;;;;;;;;;
2024-10-29;-0,005;0,031;0,024;0,066;-0,003;0,002;0,022;0,036;0,021;
2024-10-30;-0,005;0,028;0,019;0,065;-0,003;0,002;0,016;0,030;0,017;
2024-10-31;-0,005;0,027;0,014;0,057;-0,004;0,001;0,011;0,025;0,011;
2024-11-01;-0,005;0,028;0,016;0,061;-0,003;0,001;0,011;0,028;0,012;
2024-11-04;-0,005;0,029;0,019;0,058;-0,004;0,001;0,014;0,031;0,013;
2024-11-05;;;;;;;;;;
2024-11-06;-0,005;0,036;0,014;0,080;-0,004;0,000;0,002;0,021;0,004;
2024-11-07;-0,005;0,038;0,021;0,077;-0,005;0,000;0,008;0,025;0,010;
2024-11-08;;;;;;;;;;
2024-11-11;-0,005;0,043;0,021;0,085;-0,003;0,001;0,013;0,027;0,015;
2024-11-12;;;;;;;;;;
2024-11-13;-0,005;0,041;0,009;0,089;-0,004;0,001;0,004;0,017;0,007;
2024-11-14;-0,005;0,041;0,012;0,086;-0,003;0,002;0,008;0,021;0,009;
2024-11-15;;;;;;;;;;
2024-11-18;-0,005;0,043;0,005;0,080;-0,003;0,001;-0,012;0,012;-0,007;
2024-11-19;-0,005;0,049;0,003;0,081;-0,003;0,002;-0,013;0,010;-0,009;
2024-11-20;-0,005;0,050;0,000;0,085;-0,003;0,002;-0,017;0,007;-0,011;
2024-11-21;-0,004;0,050;0,002;0,087;-0,003;0,002;-0,017;0,007;-0,011;
2024-11-22;-0,004;0,050;0,007;0,088;-0,002;0,003;-0,011;0,012;-0,005;
2024-11-25;-0,004;0,049;0,008;0,089;-0,001;0,004;-0,005;0,014;0,000;
2024-11-26;-0,004;0,046;0,005;0,092;-0,001;0,005;-0,010;0,011;-0,005;
2024-11-27;-0,004;0,047;0,006;0,086;-0,000;0,005;-0,008;0,014;-0,003;
2024-11-28;;;;;;;;;;
2024-11-29;-0,004;0,049;0,011;0,089;-0,000;0,006;-0,005;0,016;-0,001;
2024-12-02;-0,004;0,051;0,016;0,094;0,001;0,007;-0,002;0,020;0,002;
2024-12-03;-0,004;0,054;0,019;0,094;0,001;0,006;-0,001;0,022;0,003;
2024-12-04;-0,004;0,048;0,023;0,095;-0,000;0,005;0,005;0,026;0,008;
2024-12-05;-0,004;0,046;0,023;0,091;-0,002;0,003;0,001;0,025;0,004;
2024-12-06;-0,004;0,044;0,026;0,094;-0,001;0,004;0,005;0,028;0,007;
2024-12-09;;;;;;;;;;
2024-12-10;-0,004;0,045;0,023;0,093;-0,002;0,004;0,004;0,025;0,006;
2024-12-11;-0,004;0,043;0,022;0,096;-0,002;0,004;0,005;0,025;0,007;
2024-12-12;;;;;;;;;;
2024-12-13;-0,004;0,039;0,017;0,094;-0,003;0,002;0,000;0,020;0,003;
2024-12-16;-0,004;0,034;0,016;0,092;-0,003;0,002;-0,001;0,018;0,002;
2024-12-17;-0,004;0,037;0,014;0,091;-0,003;0,002;-0,004;0,016;-0,000;
2024-12-18;-0,004;0,036;0,015;0,080;-0,004;0,002;-0,000;0,017;0,004;
2024-12-19;-0,004;0,028;0,004;0,081;-0,005;-0,000;-0,010;0,008;-0,004;
2024-12-20;-0,004;0,024;0,005;0,087;-0,005;0,000;-0,007;0,009;-0,003;
2025-02-06;;;;;;;;;;
2025-02-18;;;;;;;;;;
2025-02-19;-0,002;0,040;0,043;0,090;-0,004;-0,003;0,020;0,042;0,027;
2025-02-20;-0,002;0,034;0,045;0,084;-0,004;-0,003;0,022;0,044;0,029;
2025-02-21;-0,002;0,032;0,044;0,076;-0,004;-0,002;0,019;0,042;0,026;
2025-02-24;-0,002;0,032;0,042;0,074;-0,004;-0,002;0,018;0,043;0,025;
2025-02-25;;;;;;;;;;
2025-02-26;-0,002;0,028;0,048;0,072;-0,003;-0,002;0,019;0,048;0,027;
2025-02-27;-0,002;0,031;0,043;0,069;-0,002;-0,001;0,013;0,044;0,023;
2025-02-28;-0,002;0,024;0,041;0,075;-0,002;-0,001;0,010;0,042;0,020;
2025-03-03;-0,002;0,020;0,042;0,060;-0,003;-0,002;0,009;0,044;0,019;
2025-03-04;-0,002;0,017;0,028;0,055;-0,002;-0,001;-0,005;0,032;0,005;
2025-03-05;-0,002;0,012;0,036;0,048;-0,005;-0,005;0,001;0,038;0,011;
2025-03-06;-0,002;0,010;0,035;0,035;-0,007;-0,006;-0,001;0,038;0,008;
2025-03-10;;;;;;;;;;
2025-03-11;-0,001;-0,011;0,021;0,016;-0,007;-0,006;-0,016;0,023;-0,008;
2025-03-12;;;;;;;;;;
2025-03-13;-0,001;-0,010;0,021;0,019;-0,007;-0,005;-0,011;0,024;-0,002;
2025-03-14;;;;;;;;;;
2025-03-17;-0,001;-0,006;0,029;0,026;-0,007;-0,004;-0,001;0,031;0,009;
2025-03-18;;;;;;;;;;
2025-03-19;-0,001;-0,005;0,030;0,028;-0,007;-0,004;0,001;0,030;0,011;
2025-03-20;-0,001;-0,003;0,028;0,027;-0,007;-0,004;0,000;0,029;0,009;
2025-03-21;-0,001;-0,006;0,023;0,027;-0,007;-0,004;-0,004;0,023;0,006;
2025-03-24;-0,001;-0,006;0,022;0,034;-0,007;-0,004;-0,004;0,021;0,006;
2025-03-25;-0,001;-0,009;0,023;0,031;-0,007;-0,004;-0,005;0,022;0,005;
2025-03-26;-0,001;-0,006;0,017;0,026;-0,007;-0,004;-0,013;0,016;-0,003;
2025-03-27;-0,001;-0,007;0,014;0,023;-0,007;-0,004;-0,014;0,014;-0,006;
2025-03-28;-0,001;-0,008;0,011;0,013;-0,006;-0,003;-0,017;0,012;-0,009;
2025-03-31;-0,001;-0,014;0,003;0,017;-0,006;-0,002;-0,023;0,004;-0,017;
2025-04-01;-0,001;-0,011;0,007;0,016;-0,005;-0,002;-0,017;0,008;-0,009;
2025-04-02;-0,001;-0,011;0,005;0,015;-0,006;-0,002;-0,018;0,005;-0,011;
2025-04-03;-0,001;-0,020;-0,011;-0,016;-0,005;-0,001;-0,027;-0,009;-0,021;
2025-04-04;-0,001;-0,029;-0,030;-0,025;-0,003;0,000;-0,047;-0,027;-0,040;
2025-04-07;-0,001;-0,056;-0,052;-0,027;-0,002;0,001;-0,065;-0,050;-0,059;
2025-04-08;-0,001;-0,051;-0,042;-0,035;-0,003;-0,000;-0,057;-0,042;-0,049;
2025-04-09;-0,001;-0,056;-0,057;0,007;-0,002;0,001;-0,074;-0,058;-0,068;
2025-04-10;-0,001;-0,037;-0,036;-0,018;-0,002;0,001;-0,056;-0,039;-0,049;
2025-04-11;-0,001;-0,036;-0,035;-0,007;-0,001;0,002;-0,053;-0,038;-0,048;
2025-04-14;-0,001;-0,034;-0,023;-0,013;-0,001;0,002;-0,041;-0,025;-0,035;
2025-04-15;-0,001;-0,025;-0,014;-0,008;-0,001;0,001;-0,031;-0,016;-0,028;
2025-04-16;-0,001;-0,025;-0,018;-0,020;-0,001;0,002;-0,034;-0,020;-0,030;
2025-04-17;-0,001;-0,028;-0,021;-0,027;-0,002;0,001;-0,037;-0,024;-0,034;
2025-04-22;-0,000;-0,030;-0,018;-0,032;-0,001;0,002;-0,036;-0,022;-0,033;
2025-04-23;-0,000;-0,019;-0,011;-0,019;-0,001;0,001;-0,026;-0,013;-0,023;
2025-04-24;;;;;;;;;;
2025-04-25;;;;;;;;;;
2025-04-28;;;;;;;;;;
2025-04-29;-0,000;-0,014;-0,008;-0,005;-0,000;0,001;-0,015;-0,007;-0,015;
2025-04-30;-0,000;-0,007;-0,001;-0,003;-0,000;0,001;-0,007;-0,000;-0,006;
2025-05-02;-0,000;0,001;0,004;0,003;-0,001;0,000;0,001;0,004;0,001;
2025-05-05;-0,000;0,001;0,004;0,003;-0,001;0,000;0,000;0,004;0,000;
2025-05-06;;;;;;;;;;
2025-05-07;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
